"青沥备开(矫焙备)喊/1技喊 林刮殿废牢备"

"C青沥备开(矫焙备)喊","青沥备开(矫焙备)喊","C楷飞喊","楷飞喊","矫痢","醚牢备荐 (疙)","巢磊牢备荐 (疙)","咯磊牢备荐 (疙)"
'00,"傈惫",'000,"拌",2024,51217221.0000,25498324.0000,25718897.0000
'00,"傈惫",'0401,"0技",2024,235337.0000,120438.0000,114899.0000
'00,"傈惫",'0402,"1技",2024,234405.0000,120019.0000,114386.0000
'00,"傈惫",'0403,"2技",2024,254654.0000,130169.0000,124485.0000
'00,"傈惫",'0404,"3技",2024,267456.0000,137079.0000,130377.0000
'00,"傈惫",'0405,"4技",2024,279924.0000,143167.0000,136757.0000
'00,"傈惫",'0501,"5技",2024,309988.0000,159146.0000,150842.0000
'00,"傈惫",'0502,"6技",2024,334145.0000,171369.0000,162776.0000
'00,"傈惫",'0503,"7技",2024,365050.0000,187845.0000,177205.0000
'00,"傈惫",'0504,"8技",2024,413851.0000,211682.0000,202169.0000
'00,"傈惫",'0505,"9技",2024,445308.0000,228146.0000,217162.0000
'00,"傈惫",'0701,"10技",2024,441402.0000,226021.0000,215381.0000
'00,"傈惫",'0702,"11技",2024,442088.0000,226397.0000,215691.0000
'00,"傈惫",'0703,"12技",2024,490336.0000,251513.0000,238823.0000
'00,"傈惫",'0704,"13技",2024,476596.0000,244417.0000,232179.0000
'00,"傈惫",'0705,"14技",2024,473881.0000,244168.0000,229713.0000
'00,"傈惫",'1001,"15技",2024,448184.0000,230581.0000,217603.0000
'00,"傈惫",'1002,"16技",2024,468559.0000,240812.0000,227747.0000
'00,"傈惫",'1003,"17技",2024,495166.0000,254193.0000,240973.0000
'00,"傈惫",'1004,"18技",2024,448543.0000,231371.0000,217172.0000
'00,"傈惫",'1005,"19技",2024,434510.0000,224285.0000,210225.0000
'00,"傈惫",'1201,"20技",2024,471844.0000,243821.0000,228023.0000
'00,"傈惫",'1202,"21技",2024,491115.0000,254246.0000,236869.0000
'00,"傈惫",'1203,"22技",2024,492239.0000,256317.0000,235922.0000
'00,"傈惫",'1204,"23技",2024,556481.0000,288861.0000,267620.0000
'00,"傈惫",'1205,"24技",2024,636135.0000,331382.0000,304753.0000
'00,"傈惫",'1301,"25技",2024,616775.0000,320665.0000,296110.0000
'00,"傈惫",'1302,"26技",2024,636549.0000,331609.0000,304940.0000
'00,"傈惫",'1303,"27技",2024,667939.0000,344999.0000,322940.0000
'00,"傈惫",'1304,"28技",2024,681868.0000,357121.0000,324747.0000
'00,"傈惫",'1305,"29技",2024,704711.0000,371503.0000,333208.0000
'00,"傈惫",'1501,"30技",2024,710451.0000,376961.0000,333490.0000
'00,"傈惫",'1502,"31技",2024,707440.0000,375031.0000,332409.0000
'00,"傈惫",'1503,"32技",2024,722490.0000,379722.0000,342768.0000
'00,"傈惫",'1504,"33技",2024,699943.0000,365473.0000,334470.0000
'00,"傈惫",'1505,"34技",2024,638888.0000,337691.0000,301197.0000
'00,"傈惫",'1601,"35技",2024,629332.0000,326468.0000,302864.0000
'00,"傈惫",'1602,"36技",2024,624255.0000,325100.0000,299155.0000
'00,"傈惫",'1603,"37技",2024,616111.0000,314501.0000,301610.0000
'00,"傈惫",'1604,"38技",2024,625732.0000,323716.0000,302016.0000
'00,"傈惫",'1605,"39技",2024,649921.0000,333315.0000,316606.0000
'00,"傈惫",'1801,"40技",2024,658671.0000,336764.0000,321907.0000
'00,"傈惫",'1802,"41技",2024,743698.0000,379322.0000,364376.0000
'00,"傈惫",'1803,"42技",2024,816621.0000,415488.0000,401133.0000
'00,"傈惫",'1804,"43技",2024,833847.0000,425525.0000,408322.0000
'00,"傈惫",'1805,"44技",2024,829962.0000,422606.0000,407356.0000
'00,"傈惫",'1901,"45技",2024,820303.0000,413295.0000,407008.0000
'00,"傈惫",'1902,"46技",2024,715135.0000,368747.0000,346388.0000
'00,"傈惫",'1903,"47技",2024,770890.0000,386811.0000,384079.0000
'00,"傈惫",'1904,"48技",2024,753629.0000,384882.0000,368747.0000
'00,"傈惫",'1905,"49技",2024,780067.0000,392680.0000,387387.0000
'00,"傈惫",'2101,"50技",2024,845911.0000,430986.0000,414925.0000
'00,"傈惫",'2102,"51技",2024,880162.0000,440746.0000,439416.0000
'00,"傈惫",'2103,"52技",2024,880074.0000,449412.0000,430662.0000
'00,"傈惫",'2104,"53技",2024,926217.0000,470941.0000,455276.0000
'00,"傈惫",'2105,"54技",2024,900755.0000,456245.0000,444510.0000
