기관코드,병원명,등급,시도,시군구,가용병상,전체병상,포화율,상태,API기준시각,수집시각
A1100001,경희대학교병원,지역응급의료센터,서울특별시,동대문구,7.0,15.0,53.333333333333336,주의,20260719141534,2026-07-19T14:22:34+09:00
A1100002,건국대학교병원,지역응급의료센터,서울특별시,광진구,10.0,20.0,50.0,여유,20260719141302,2026-07-19T14:22:34+09:00
A1100003,중앙대학교병원,지역응급의료센터,서울특별시,동작구,7.0,18.0,61.111111111111114,주의,20260719141508,2026-07-19T14:22:34+09:00
A1100004,순천향대학교부속서울병원,지역응급의료센터,서울특별시,용산구,16.0,20.0,20.0,여유,20260719141522,2026-07-19T14:22:34+09:00
A1100005,이화여자대학교의과대학부속목동병원,권역응급의료센터,서울특별시,양천구,12.0,19.0,36.84210526315789,여유,20260719141041,2026-07-19T14:22:34+09:00
A1100006,강북삼성병원,지역응급의료센터,서울특별시,종로구,0.0,15.0,100.0,포화,20260719141526,2026-07-19T14:22:34+09:00
A1100007,연세대학교의과대학세브란스병원,지역응급의료센터,서울특별시,서대문구,2.0,39.0,94.87179487179486,포화,20260719141416,2026-07-19T14:22:34+09:00
A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),권역응급의료센터,서울특별시,성북구,18.0,30.0,40.0,여유,20260719141237,2026-07-19T14:22:34+09:00
A1100009,재단법인아산사회복지재단서울아산병원,지역응급의료센터,서울특별시,송파구,-3.0,36.0,,결측,20260719141315,2026-07-19T14:22:34+09:00
A1100010,삼성서울병원,지역응급의료센터,서울특별시,강남구,-9.0,52.0,,결측,20260719141219,2026-07-19T14:22:34+09:00
A1100011,가톨릭대학교여의도성모병원,지역응급의료센터,서울특별시,영등포구,10.0,15.0,33.33333333333333,여유,20260719141511,2026-07-19T14:22:34+09:00
A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,지역응급의료센터,서울특별시,서초구,-7.0,28.0,,결측,20260719141511,2026-07-19T14:22:34+09:00
A1100013,한양대학교병원,권역응급의료센터,서울특별시,성동구,8.0,20.0,60.0,주의,20260719141259,2026-07-19T14:22:34+09:00
A1100014,고려대학교의과대학부속구로병원,권역응급의료센터,서울특별시,구로구,10.0,29.0,65.51724137931035,주의,20260719141458,2026-07-19T14:22:34+09:00
A1100015,연세대학교의과대학강남세브란스병원,지역응급의료센터,서울특별시,강남구,2.0,21.0,90.47619047619048,포화,20260719141203,2026-07-19T14:22:34+09:00
A1100016,인제대학교상계백병원,지역응급의료센터,서울특별시,노원구,9.0,16.0,43.75,여유,20260719141308,2026-07-19T14:22:34+09:00
A1100017,서울대학교병원,권역응급의료센터,서울특별시,종로구,-5.0,24.0,,결측,20260719141455,2026-07-19T14:22:34+09:00
A1100019,홍익병원,지역응급의료기관,서울특별시,양천구,5.0,9.0,44.44444444444444,여유,20260719141440,2026-07-19T14:22:34+09:00
A1100020,의료법인한전의료재단한일병원,지역응급의료센터,서울특별시,도봉구,10.0,21.0,52.38095238095239,주의,20260719141503,2026-07-19T14:22:34+09:00
A1100021,삼육서울병원,지역응급의료센터,서울특별시,동대문구,6.0,13.0,53.84615384615385,주의,20260719141138,2026-07-19T14:22:34+09:00
A1100022,서울특별시동부병원,지역응급의료기관,서울특별시,동대문구,8.0,8.0,0.0,여유,20260719141520,2026-07-19T14:22:34+09:00
A1100023,의료법인청구성심병원,지역응급의료기관,서울특별시,은평구,6.0,10.0,40.0,여유,20260719141244,2026-07-19T14:22:34+09:00
A1100024,명지성모병원,지역응급의료기관,서울특별시,영등포구,8.0,8.0,0.0,여유,20260719141511,2026-07-19T14:22:34+09:00
A1100025,의료법인동신의료재단동신병원,지역응급의료기관,서울특별시,서대문구,8.0,9.0,11.11111111111111,여유,20260719141243,2026-07-19T14:22:34+09:00
A1100026,구로성심병원,지역응급의료기관,서울특별시,구로구,6.0,9.0,33.33333333333333,여유,20260719141523,2026-07-19T14:22:34+09:00
A1100027,한국원자력의학원원자력병원,지역응급의료기관,서울특별시,노원구,9.0,9.0,0.0,여유,20260719141428,2026-07-19T14:22:34+09:00
A1100028,성심의료재단강동성심병원,지역응급의료센터,서울특별시,강동구,5.0,15.0,66.66666666666666,주의,20260719141415,2026-07-19T14:22:34+09:00
A1100029,서울적십자병원,지역응급의료기관,서울특별시,종로구,9.0,10.0,10.0,여유,20260719141428,2026-07-19T14:22:34+09:00
A1100030,의료법인성화의료재단대한병원,응급실운영신고기관,서울특별시,강북구,,,,결측,,
A1100032,세란병원,지역응급의료기관,서울특별시,종로구,7.0,10.0,30.0,여유,20260719141405,2026-07-19T14:22:34+09:00
A1100035,서울특별시서울의료원,권역응급의료센터,서울특별시,중랑구,0.0,19.0,100.0,포화,20260719141500,2026-07-19T14:22:34+09:00
A1100036,부민병원,지역응급의료기관,서울특별시,강서구,9.0,10.0,10.0,여유,20260719141112,2026-07-19T14:22:34+09:00
A1100037,대림성모병원,지역응급의료기관,서울특별시,영등포구,6.0,8.0,25.0,여유,20260719141039,2026-07-19T14:22:34+09:00
A1100038,한림대학교한강성심병원,응급실운영신고기관,서울특별시,영등포구,,,,결측,,
A1100039,경찰병원,지역응급의료기관,서울특별시,송파구,2.0,3.0,33.33333333333333,여유,20260719141502,2026-07-19T14:22:34+09:00
A1100040,서울특별시보라매병원,지역응급의료센터,서울특별시,동작구,13.0,31.0,58.06451612903226,주의,20260719141500,2026-07-19T14:22:34+09:00
A1100041,의료법인서울효천의료재단에이치플러스양지병원,지역응급의료센터,서울특별시,관악구,12.0,18.0,33.33333333333333,여유,20260719141511,2026-07-19T14:22:34+09:00
A1100042,우리들병원,응급실운영신고기관,서울특별시,강서구,,,,결측,,
A1100043,강동경희대학교병원,권역응급의료센터,서울특별시,강동구,5.0,15.0,66.66666666666666,주의,20260719141518,2026-07-19T14:22:34+09:00
A1100044,녹색병원,지역응급의료기관,서울특별시,중랑구,-4.0,5.0,,결측,20260719141506,2026-07-19T14:22:34+09:00
A1100045,씨엠병원,지역응급의료기관,서울특별시,영등포구,6.0,9.0,33.33333333333333,여유,20260719140000,2026-07-19T14:22:34+09:00
A1100046,미즈메디병원,응급실운영신고기관,서울특별시,강서구,,,,결측,,
A1100047,강남고려병원,응급실운영신고기관,서울특별시,관악구,,,,결측,,
A1100048,노원을지대학교병원,지역응급의료센터,서울특별시,노원구,8.0,17.0,52.94117647058824,주의,20260719141102,2026-07-19T14:22:34+09:00
A1100049,희명병원,지역응급의료기관,서울특별시,금천구,8.0,10.0,20.0,여유,20260719141425,2026-07-19T14:22:34+09:00
A1100050,서울성심병원,지역응급의료기관,서울특별시,동대문구,16.0,17.0,5.88235294117647,여유,20260719141316,2026-07-19T14:22:34+09:00
A1100051,혜민병원,지역응급의료기관,서울특별시,광진구,6.0,9.0,33.33333333333333,여유,20260719141039,2026-07-19T14:22:34+09:00
A1100052,국립중앙의료원,지역응급의료센터,서울특별시,중구,12.0,15.0,20.0,여유,20260719141304,2026-07-19T14:22:34+09:00
A1100053,한국보훈복지의료공단중앙보훈병원,지역응급의료센터,서울특별시,강동구,10.0,22.0,54.54545454545454,주의,20260719141330,2026-07-19T14:22:34+09:00
A1100054,성애의료재단성애병원,지역응급의료센터,서울특별시,영등포구,11.0,15.0,26.666666666666668,여유,20260719141417,2026-07-19T14:22:34+09:00
A1100055,한림대학교강남성심병원,지역응급의료센터,서울특별시,영등포구,10.0,20.0,50.0,여유,20260719141214,2026-07-19T14:22:34+09:00
A1100057,차의과학대학교강남차병원,응급실운영신고기관,서울특별시,강남구,,,,결측,,
A1100063,신촌연세병원,응급실운영신고기관,서울특별시,마포구,,,,결측,,
A1100075,의료법인풍산의료재단동부제일병원,지역응급의료기관,서울특별시,중랑구,7.0,7.0,0.0,여유,20260719141042,2026-07-19T14:22:34+09:00
A1100076,강남힐병원,응급실운영신고기관,서울특별시,관악구,,,,결측,,
A1100141,강남베드로병원,응급실운영신고기관,서울특별시,강남구,,,,결측,,
A1100148,사랑의병원,응급실운영신고기관,서울특별시,관악구,,,,결측,,
A1100152,은평연세병원,응급실운영신고기관,서울특별시,은평구,,,,결측,,
A1100163,한강수병원,응급실운영신고기관,서울특별시,영등포구,,,,결측,,
A1100172,서울현대병원,응급실운영신고기관,서울특별시,강북구,,,,결측,,
A1100223,서울특별시서남병원,지역응급의료기관,서울특별시,양천구,15.0,17.0,11.76470588235294,여유,20260719141000,2026-07-19T14:22:34+09:00
A1100255,의료법인인봉의료재단영등포병원,응급실운영신고기관,서울특별시,영등포구,,,,결측,,
A1107402,서울대학교치과병원,응급실운영신고기관,서울특별시,종로구,,,,결측,,
