시군구코드,응급의학과전문의수,병상수,전문의0명,병상대비전문의부족비율,의료진부족점수
강원특별자치도|강릉시,13.0,45.0,False,3.4615384615384617,13.420210237621518
강원특별자치도|동해시,0.0,17.0,True,,100.0
강원특별자치도|삼척시,3.0,16.0,False,5.333333333333333,25.088860939465203
강원특별자치도|속초시,1.0,26.0,False,26.0,100.0
강원특별자치도|양구군,0.0,5.0,True,,100.0
강원특별자치도|영월군,1.0,9.0,False,9.0,47.94662875266585
강원특별자치도|원주시,25.0,53.0,False,2.12,5.057144419533005
강원특별자치도|정선군,0.0,5.0,True,,100.0
강원특별자치도|철원군,0.0,5.0,True,,100.0
강원특별자치도|춘천시,22.0,43.0,False,1.9545454545454546,4.025711260358826
강원특별자치도|태백시,0.0,9.0,True,,100.0
강원특별자치도|평창군,0.0,6.0,True,,100.0
강원특별자치도|홍천군,0.0,10.0,True,,100.0
강원특별자치도|화천군,0.0,7.0,True,,100.0
강원특별자치도|횡성군,0.0,9.0,True,,100.0
경기도|가평군,0.0,,True,,100.0
경기도|고양시,47.0,137.0,False,2.9148936170212765,10.012460892460524
경기도|광명시,24.0,32.0,False,1.3333333333333333,0.1531142341554115
경기도|광주시,11.0,9.0,False,0.8181818181818182,0.0
경기도|구리시,8.0,18.0,False,2.25,5.867556187455572
경기도|군포시,19.0,35.0,False,1.8421052631578947,3.32476622737464
경기도|김포시,19.0,36.0,False,1.894736842105263,3.652868157707663
경기도|남양주시,17.0,42.0,False,2.4705882352941178,7.242689277821921
경기도|동두천시,0.0,,True,,100.0
경기도|부천시,43.0,71.0,False,1.6511627906976745,2.1344429452362292
경기도|성남시,66.0,127.0,False,1.9242424242424243,3.8368040883489045
경기도|수원시,76.0,140.0,False,1.8421052631578947,3.32476622737464
경기도|시흥시,17.0,44.0,False,2.588235294117647,7.976093592683975
경기도|안산시,40.0,76.0,False,1.9,3.6856783507409654
경기도|안성시,7.0,23.0,False,3.2857142857142856,12.324133459366143
경기도|안양시,22.0,42.0,False,1.9090909090909092,3.7423505023439434
경기도|양주시,0.0,10.0,True,,100.0
경기도|양평군,1.0,9.0,False,9.0,47.94662875266585
경기도|여주시,4.0,6.0,False,1.5,1.1921036802099867
경기도|연천군,0.0,10.0,True,,100.0
경기도|오산시,4.0,17.0,False,4.25,18.335429540110468
경기도|용인시,29.0,73.0,False,2.5172413793103448,7.533522023370666
경기도|의정부시,29.0,104.0,False,3.586206896551724,14.197385367031043
경기도|이천시,6.0,17.0,False,2.8333333333333335,9.504019248646586
경기도|파주시,11.0,29.0,False,2.6363636363636362,8.276122630582087
경기도|평택시,27.0,56.0,False,2.074074074074074,4.770845105509077
경기도|포천시,12.0,35.0,False,2.9166666666666665,10.023513971673871
경기도|화성시,23.0,50.0,False,2.1739130434782608,5.393234918604571
경상남도|거제시,0.0,27.0,True,,100.0
경상남도|거창군,0.0,9.0,True,,100.0
경상남도|고성군,0.0,9.0,True,,100.0
경상남도|김해시,16.0,50.0,False,3.125,11.32225077924209
경상남도|남해군,0.0,,True,,100.0
경상남도|밀양시,0.0,19.0,True,,100.0
경상남도|사천시,1.0,17.0,False,17.0,97.81812216328544
경상남도|산청군,0.0,5.0,True,,100.0
경상남도|양산시,10.0,45.0,False,4.5,19.89391370919233
경상남도|의령군,0.0,4.0,True,,100.0
경상남도|진주시,20.0,87.0,False,4.35,18.95882320774321
경상남도|창녕군,0.0,9.0,True,,100.0
경상남도|창원시,52.0,135.0,False,2.5961538461538463,8.025457344645844
