시도,시군구,응급의학과전문의수,전체기관수,매칭기관수,전문의수확인기관수,매칭률,데이터품질
강원특별자치도,강릉시,13.0,4,4,4,1.0,사용가능
강원특별자치도,동해시,0.0,2,2,2,1.0,사용가능
강원특별자치도,삼척시,3.0,1,1,1,1.0,사용가능
강원특별자치도,속초시,1.0,2,2,2,1.0,사용가능
강원특별자치도,양구군,0.0,1,1,1,1.0,사용가능
강원특별자치도,영월군,1.0,1,1,1,1.0,사용가능
강원특별자치도,원주시,25.0,3,3,3,1.0,사용가능
강원특별자치도,정선군,0.0,1,1,1,1.0,사용가능
강원특별자치도,철원군,0.0,1,1,1,1.0,사용가능
강원특별자치도,춘천시,22.0,3,3,3,1.0,사용가능
강원특별자치도,태백시,0.0,1,1,1,1.0,사용가능
강원특별자치도,평창군,0.0,1,1,1,1.0,사용가능
강원특별자치도,홍천군,0.0,1,1,1,1.0,사용가능
강원특별자치도,화천군,0.0,1,1,1,1.0,사용가능
강원특별자치도,횡성군,0.0,1,1,1,1.0,사용가능
경기도,가평군,0.0,1,1,1,1.0,사용가능
경기도,고양시,47.0,8,7,7,0.875,사용가능
경기도,광명시,24.0,2,2,2,1.0,사용가능
경기도,광주시,11.0,1,1,1,1.0,사용가능
경기도,구리시,8.0,2,2,2,1.0,사용가능
경기도,군포시,19.0,2,2,2,1.0,사용가능
경기도,김포시,19.0,2,2,2,1.0,사용가능
경기도,남양주시,17.0,5,5,5,1.0,사용가능
경기도,동두천시,0.0,1,1,1,1.0,사용가능
경기도,부천시,43.0,5,5,5,1.0,사용가능
경기도,성남시,66.0,9,9,9,1.0,사용가능
경기도,수원시,76.0,9,9,9,1.0,사용가능
경기도,시흥시,17.0,3,3,3,1.0,사용가능
경기도,안산시,40.0,7,7,7,1.0,사용가능
경기도,안성시,7.0,2,2,2,1.0,사용가능
경기도,안양시,22.0,3,3,3,1.0,사용가능
경기도,양주시,0.0,1,1,1,1.0,사용가능
경기도,양평군,1.0,1,1,1,1.0,사용가능
경기도,여주시,4.0,2,2,2,1.0,사용가능
경기도,연천군,0.0,1,1,1,1.0,사용가능
경기도,오산시,4.0,1,1,1,1.0,사용가능
경기도,용인시,29.0,5,5,5,1.0,사용가능
경기도,의정부시,29.0,5,5,5,1.0,사용가능
경기도,이천시,6.0,2,2,2,1.0,사용가능
경기도,파주시,11.0,4,4,4,1.0,사용가능
경기도,평택시,27.0,6,6,6,1.0,사용가능
경기도,포천시,12.0,2,2,2,1.0,사용가능
경기도,화성시,23.0,4,4,4,1.0,사용가능
경상남도,거제시,0.0,3,3,3,1.0,사용가능
경상남도,거창군,0.0,1,1,1,1.0,사용가능
경상남도,고성군,0.0,2,2,2,1.0,사용가능
경상남도,김해시,16.0,6,6,6,1.0,사용가능
경상남도,남해군,0.0,1,1,1,1.0,사용가능
경상남도,밀양시,0.0,3,3,3,1.0,사용가능
경상남도,사천시,1.0,3,3,3,1.0,사용가능
경상남도,산청군,0.0,1,1,1,1.0,사용가능
경상남도,양산시,10.0,4,4,4,1.0,사용가능
경상남도,의령군,0.0,1,1,1,1.0,사용가능
경상남도,진주시,20.0,8,8,8,1.0,사용가능
경상남도,창녕군,0.0,1,1,1,1.0,사용가능
경상남도,창원시,52.0,10,10,10,1.0,사용가능
경상남도,통영시,0.0,1,1,1,1.0,사용가능
경상남도,하동군,0.0,1,1,1,1.0,사용가능
경상남도,함안군,0.0,1,1,1,1.0,사용가능
경상남도,함양군,0.0,1,1,1,1.0,사용가능
경상남도,합천군,0.0,1,1,1,1.0,사용가능
경상북도,경산시,8.0,2,2,2,1.0,사용가능
경상북도,경주시,15.0,2,2,2,1.0,사용가능
경상북도,고령군,0.0,1,1,1,1.0,사용가능
경상북도,구미시,23.0,3,3,3,1.0,사용가능
경상북도,김천시,11.0,2,2,2,1.0,사용가능
경상북도,문경시,6.0,1,1,1,1.0,사용가능
경상북도,봉화군,0.0,1,1,1,1.0,사용가능
경상북도,상주시,0.0,2,2,2,1.0,사용가능
경상북도,성주군,0.0,1,1,1,1.0,사용가능
경상북도,안동시,22.0,3,3,3,1.0,사용가능
경상북도,영덕군,0.0,1,1,1,1.0,사용가능
경상북도,영양군,0.0,1,1,1,1.0,사용가능
경상북도,영주시,1.0,3,3,3,1.0,사용가능
경상북도,영천시,0.0,1,1,1,1.0,사용가능
경상북도,예천군,0.0,1,1,1,1.0,사용가능
경상북도,울릉군,0.0,1,1,1,1.0,사용가능
경상북도,울진군,1.0,1,1,1,1.0,사용가능
경상북도,의성군,0.0,1,1,1,1.0,사용가능
경상북도,청도군,0.0,1,1,1,1.0,사용가능
경상북도,청송군,0.0,1,1,1,1.0,사용가능
경상북도,칠곡군,0.0,1,1,1,1.0,사용가능
경상북도,포항시,36.0,5,5,5,1.0,사용가능
대구광역시,남구,17.0,4,4,4,1.0,사용가능
대구광역시,달서구,26.0,6,6,6,1.0,사용가능
대구광역시,달성군,0.0,1,1,1,1.0,사용가능
대구광역시,동구,18.0,3,3,3,1.0,사용가능
대구광역시,북구,10.0,2,2,2,1.0,사용가능
대구광역시,서구,1.0,4,4,4,1.0,사용가능
대구광역시,수성구,1.0,1,1,1,1.0,사용가능
대구광역시,중구,16.0,4,4,4,1.0,사용가능
대전광역시,대덕구,0.0,2,2,2,1.0,사용가능
대전광역시,동구,0.0,2,2,2,1.0,사용가능
대전광역시,서구,15.0,3,3,3,1.0,사용가능
대전광역시,유성구,11.0,1,1,1,1.0,사용가능
대전광역시,중구,28.0,3,3,3,1.0,사용가능
부산광역시,금정구,0.0,1,1,1,1.0,사용가능
부산광역시,기장군,0.0,2,2,2,1.0,사용가능
부산광역시,남구,6.0,1,1,1,1.0,사용가능
부산광역시,동구,6.0,4,4,4,1.0,사용가능
부산광역시,동래구,14.0,4,4,4,1.0,사용가능
부산광역시,부산진구,18.0,4,4,4,1.0,사용가능
부산광역시,북구,7.0,3,3,3,1.0,사용가능
부산광역시,사상구,5.0,3,3,3,1.0,사용가능
부산광역시,사하구,0.0,1,1,1,1.0,사용가능
부산광역시,서구,30.0,4,4,4,1.0,사용가능
부산광역시,수영구,17.0,3,3,3,1.0,사용가능
부산광역시,연제구,3.0,2,2,2,1.0,사용가능
부산광역시,영도구,0.0,2,2,2,1.0,사용가능
부산광역시,중구,0.0,1,1,1,1.0,사용가능
부산광역시,해운대구,13.0,3,3,3,1.0,사용가능
서울특별시,강남구,32.0,5,5,5,1.0,사용가능
서울특별시,강동구,29.0,3,3,3,1.0,사용가능
서울특별시,강북구,0.0,3,3,3,1.0,사용가능
서울특별시,강서구,19.0,5,5,5,1.0,사용가능
서울특별시,관악구,,4,3,3,0.75,검토필요
서울특별시,광진구,12.0,2,2,2,1.0,사용가능
서울특별시,구로구,16.0,2,2,2,1.0,사용가능
서울특별시,금천구,5.0,1,1,1,1.0,사용가능
서울특별시,노원구,19.0,3,3,3,1.0,사용가능
서울특별시,도봉구,12.0,1,1,1,1.0,사용가능
서울특별시,동대문구,18.0,4,4,4,1.0,사용가능
서울특별시,동작구,15.0,3,3,3,1.0,사용가능
서울특별시,마포구,0.0,1,1,1,1.0,사용가능
서울특별시,서대문구,23.0,2,2,2,1.0,사용가능
서울특별시,서초구,12.0,3,3,3,1.0,사용가능
서울특별시,성동구,16.0,2,2,2,1.0,사용가능
서울특별시,성북구,11.0,1,1,1,1.0,사용가능
서울특별시,송파구,19.0,3,3,3,1.0,사용가능
서울특별시,양천구,32.0,3,3,3,1.0,사용가능
서울특별시,영등포구,35.0,9,9,9,1.0,사용가능
서울특별시,용산구,13.0,1,1,1,1.0,사용가능
서울특별시,은평구,20.0,4,4,4,1.0,사용가능
서울특별시,종로구,35.0,5,5,5,1.0,사용가능
서울특별시,중구,17.0,1,1,1,1.0,사용가능
서울특별시,중랑구,22.0,3,3,3,1.0,사용가능
세종특별자치시,세종시,13.0,2,2,2,1.0,사용가능
울산광역시,남구,13.0,5,5,5,1.0,사용가능
울산광역시,동구,10.0,1,1,1,1.0,사용가능
울산광역시,북구,6.0,2,2,2,1.0,사용가능
울산광역시,울주군,3.0,1,1,1,1.0,사용가능
울산광역시,중구,9.0,3,3,3,1.0,사용가능
인천광역시,강화군,1.0,1,1,1,1.0,사용가능
인천광역시,검단구,9.0,2,2,2,1.0,사용가능
인천광역시,계양구,28.0,3,3,3,1.0,사용가능
인천광역시,남동구,29.0,3,3,3,1.0,사용가능
인천광역시,미추홀구,14.0,3,3,3,1.0,사용가능
인천광역시,부평구,22.0,3,3,3,1.0,사용가능
인천광역시,서해구,21.0,3,3,3,1.0,사용가능
인천광역시,연수구,12.0,2,2,2,1.0,사용가능
인천광역시,영종구,0.0,1,1,1,1.0,사용가능
인천광역시,옹진군,0.0,1,1,1,1.0,사용가능
인천광역시,제물포구,26.0,4,4,4,1.0,사용가능
전남광주통합특별시,강진군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,고흥군,0.0,2,2,2,1.0,사용가능
전남광주통합특별시,곡성군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,광산구,28.0,9,9,9,1.0,사용가능
전남광주통합특별시,광양시,1.0,2,2,2,1.0,사용가능
전남광주통합특별시,구례군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,나주시,1.0,2,2,2,1.0,사용가능
전남광주통합특별시,남구,11.0,4,4,4,1.0,사용가능
전남광주통합특별시,담양군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,동구,25.0,2,2,2,1.0,사용가능
전남광주통합특별시,목포시,23.0,5,5,5,1.0,사용가능
전남광주통합특별시,무안군,1.0,1,1,1,1.0,사용가능
전남광주통합특별시,보성군,0.0,2,2,2,1.0,사용가능
전남광주통합특별시,북구,10.0,6,6,6,1.0,사용가능
전남광주통합특별시,서구,11.0,5,5,5,1.0,사용가능
전남광주통합특별시,순천시,18.0,6,6,6,1.0,사용가능
전남광주통합특별시,신안군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,여수시,7.0,4,4,4,1.0,사용가능
전남광주통합특별시,영광군,1.0,2,2,2,1.0,사용가능
전남광주통합특별시,영암군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,완도군,0.0,3,3,3,1.0,사용가능
전남광주통합특별시,장성군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,장흥군,0.0,2,2,2,1.0,사용가능
전남광주통합특별시,진도군,0.0,2,2,2,1.0,사용가능
전남광주통합특별시,함평군,0.0,1,1,1,1.0,사용가능
전남광주통합특별시,해남군,1.0,2,2,2,1.0,사용가능
전남광주통합특별시,화순군,4.0,3,3,3,1.0,사용가능
전북특별자치도,고창군,0.0,1,1,1,1.0,사용가능
전북특별자치도,군산시,14.0,2,2,2,1.0,사용가능
전북특별자치도,김제시,1.0,1,1,1,1.0,사용가능
전북특별자치도,남원시,6.0,1,1,1,1.0,사용가능
전북특별자치도,무주군,0.0,1,1,1,1.0,사용가능
전북특별자치도,부안군,1.0,1,1,1,1.0,사용가능
전북특별자치도,순창군,0.0,1,1,1,1.0,사용가능
전북특별자치도,익산시,21.0,2,2,2,1.0,사용가능
전북특별자치도,임실군,0.0,1,1,1,1.0,사용가능
전북특별자치도,장수군,0.0,1,1,1,1.0,사용가능
전북특별자치도,전주시,45.0,7,7,7,1.0,사용가능
전북특별자치도,정읍시,0.0,1,1,1,1.0,사용가능
