기관코드,병원명,주소,시도,시군구,HIRA병원명,암호화요양기호,매칭점수,매칭상태,응급의학과전문의수,HIRA주소
A2200008,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,강원특별자치도,강릉시,강릉아산병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,1.0,자동매칭,9.0,
A2200011,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",강원특별자치도,강릉시,강원특별자치도강릉의료원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjODEjJDEjJDYjJDgz,1.0,자동매칭,0.0,
A2200005,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),강원특별자치도,강릉시,,,0.0,미매칭,,
A2200010,의산의료재단강릉고려병원,강원특별자치도 강릉시 옥가로 30 (옥천동),강원특별자치도,강릉시,,,0.0,미매칭,,
A2200038,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",강원특별자치도,동해시,,,0.0,미매칭,,
A2200003,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",강원특별자치도,동해시,,,0.0,미매칭,,
A2200007,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 473 (정상동),강원특별자치도,삼척시,강원특별자치도삼척의료원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNDEjJDEjJDQjJDgz,1.0,자동매칭,3.0,
A2200012,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),강원특별자치도,속초시,강원특별자치도속초의료원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,1.0,자동매칭,2.0,
A2200046,의료법인온세움의료재단온재병원,강원특별자치도 속초시 중앙로 11 (교동),강원특별자치도,속초시,,,0.0,미매칭,,
A2200037,의료법인성심의료재단양구성심병원,강원특별자치도 양구군 양구읍 중심로 160,강원특별자치도,양구군,,,0.0,미매칭,,
