기관코드,병원명,주소,전화,시도,시군구,후보순위,HIRA병원명,HIRA주소,HIRA전화,HIRAX좌표,HIRAY좌표,HIRA시설종별,암호화요양기호,매칭점수,이름유사도,주소유사도,도로주소일치,전화일치,거리m,시설종별일치,시도일치,시군구일치,자동확정기준,기준판정사유,1위점수차,자동확정,수집시각UTC,API근거,매칭로직버전
A2200008,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,033-610-3333,강원특별자치도,강릉시,1,강릉아산병원,"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원",033-610-3114,128.8578411,37.8184324,상급종합,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,1.0,1.0,0.8372093023255814,True,False,11.2,True,True,True,True,자동확정기준통과,0.616,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200008,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,033-610-3333,강원특별자치도,강릉시,2,강릉율곡병원,"강원특별자치도 강릉시 동해대로3304번길 11, (난곡동)",033-655-1133,128.8740332,37.7864983,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,0.384,0.5,0.6,False,False,3828.9,True,True,True,False,점수미달,0.616,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200008,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,033-610-3333,강원특별자치도,강릉시,3,(의)아나의료재단 강릉아나병원,"강원특별자치도 강릉시 용지로 129-0,  (옥천동)",033-610-1100,128.9029668,37.7604484,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,0.37,0.6,0.5714285714285714,False,False,7574.6,True,True,True,False,점수미달,0.616,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200008,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,033-610-3333,강원특별자치도,강릉시,4,의료법인 강릉동인병원,"강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)",033-650-6161,128.90735,37.77435,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,0.327,0.5,0.55,False,False,6560.6,True,True,True,False,점수미달,0.616,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200008,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,033-610-3333,강원특별자치도,강릉시,5,국군강릉병원,"강원특별자치도 강릉시 주문진읍 동해대로 4371-34, 4371",02-1688-9165,128.8310611,37.8687639,병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkMzgxMzUxIzExIyQyIyQzIyQwMCQyNjEwMDIjNjEjJDEjJDQjJDgz,0.3230434782608696,0.5,0.5217391304347826,False,False,6066.8,True,True,True,False,점수미달,0.616,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200011,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",033-610-1234,강원특별자치도,강릉시,1,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0, 강릉의료원",033-610-1200,128.8888316,37.7492828,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEwMDIjODEjJDEjJDYjJDgz,1.0,1.0,0.8780487804878049,True,False,4.4,True,True,True,True,자동확정기준통과,0.6571111111111112,True,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200011,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",033-610-1234,강원특별자치도,강릉시,2,(의)아나의료재단 강릉아나병원,"강원특별자치도 강릉시 용지로 129-0,  (옥천동)",033-610-1100,128.9029668,37.7604484,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjE4MzIjNDEjJDEjJDgjJDgz,0.3428888888888888,0.2222222222222222,0.7428571428571429,False,False,1756.7,True,True,True,False,점수미달,0.6571111111111112,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200011,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",033-610-1234,강원특별자치도,강릉시,3,의산의료재단 강릉고려병원,"강원특별자치도 강릉시 옥가로 30, (옥천동)",033-649-0100,128.8998047,37.7590068,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNTEjJDEjJDYjJDgz,0.3407070707070707,0.2222222222222222,0.7272727272727273,False,False,1448.8,True,True,True,False,점수미달,0.6571111111111112,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200011,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",033-610-1234,강원특별자치도,강릉시,4,의료법인 강릉동인병원,"강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)",033-650-6161,128.90735,37.77435,종합병원,JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDAjJDgz,0.298,0.25,0.7,False,False,3226.8,True,True,True,False,점수미달,0.6571111111111112,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
A2200011,강원특별자치도강릉의료원,"강원특별자치도 강릉시 경강로 2007-0 (남문동,강릉의료원)",033-610-1234,강원특별자치도,강릉시,5,강릉율곡병원,"강원특별자치도 강릉시 동해대로3304번길 11, (난곡동)",033-655-1133,128.8740332,37.7864983,정신병원,JDQ4MTYyMiM1MSMkMSMkNCMkOTkkNTgxOTYxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDYjJDgz,0.284,0.25,0.6,False,False,4333.9,True,True,True,False,점수미달,0.6571111111111112,False,2026-08-30T16:02:28+00:00,https://apis.data.go.kr/B551182/hospInfoServicev2/getHospBasisList,hira-catalog-v3
