entity_type,entity_id,region_code,name,missing_fields,reason_code,reason,priority,status,next_action,source_checked_at
region,경기도|가평군,경기도|가평군,가평군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,경기도|동두천시,경기도|동두천시,동두천시,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,경기도|양주시,경기도|양주시,양주시,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,경상남도|남해군,경상남도|남해군,남해군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_TOTAL_MISSING 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,경상남도|하동군,경상남도|하동군,하동군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,경상남도|함안군,경상남도|함안군,함안군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,경상북도|봉화군,경상북도|봉화군,봉화군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,경상북도|성주군,경상북도|성주군,성주군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_SOURCE_STALE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,2026-08-31T11:18:11+00:00
region,경상북도|영덕군,경상북도|영덕군,영덕군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
region,경상북도|영양군,경상북도|영양군,영양군,병상포화도점수|인구대비병상점수|regionRisk|위험등급,REGION_COMPONENT_MISSING,"병상포화도점수, 인구대비병상점수 결측; 소속 병원 원인: BED_API_NO_RESPONSE 1건",P0,open,소속 병원 결측 해소 후 beds → full 순서로 재실행,
