"행정구역","2026년07월_계_총인구수","2026년07월_계_연령구간인구수","2026년07월_계_0~9세","2026년07월_계_10~19세","2026년07월_계_20~29세","2026년07월_계_30~39세","2026년07월_계_40~49세","2026년07월_계_50~59세","2026년07월_계_60~69세","2026년07월_계_70~79세","2026년07월_계_80~89세","2026년07월_계_90~99세","2026년07월_계_100세 이상","2026년07월_남_총인구수","2026년07월_남_연령구간인구수","2026년07월_남_0~9세","2026년07월_남_10~19세","2026년07월_남_20~29세","2026년07월_남_30~39세","2026년07월_남_40~49세","2026년07월_남_50~59세","2026년07월_남_60~69세","2026년07월_남_70~79세","2026년07월_남_80~89세","2026년07월_남_90~99세","2026년07월_남_100세 이상","2026년07월_여_총인구수","2026년07월_여_연령구간인구수","2026년07월_여_0~9세","2026년07월_여_10~19세","2026년07월_여_20~29세","2026년07월_여_30~39세","2026년07월_여_40~49세","2026년07월_여_50~59세","2026년07월_여_60~69세","2026년07월_여_70~79세","2026년07월_여_80~89세","2026년07월_여_90~99세","2026년07월_여_100세 이상"
"서울특별시  (1100000000)","9,284,263","9,284,263","451,972","715,129","1,227,845","1,469,932","1,355,107","1,459,594","1,315,703","852,165","376,692","58,633","1,491","4,468,307","4,468,307","232,077","364,467","572,134","733,832","669,318","716,888","625,046","383,257","153,966","17,001","321","4,815,956","4,815,956","219,895","350,662","655,711","736,100","685,789","742,706","690,657","468,908","222,726","41,632","1,170"
"서울특별시 종로구 (1111000000)","136,139","136,139","4,941","9,032","19,804","19,949","18,004","22,384","20,933","12,835","6,938","1,277","42","65,198","65,198","2,536","4,431","9,143","9,988","8,628","10,937","10,431","5,941","2,741","408","14","70,941","70,941","2,405","4,601","10,661","9,961","9,376","11,447","10,502","6,894","4,197","869","28"
"서울특별시 중구 (1114000000)","117,493","117,493","4,812","5,850","15,265","21,282","16,115","17,688","17,755","11,795","5,852","1,053","26","56,335","56,335","2,451","2,911","6,804","10,562","8,046","8,841","8,772","5,438","2,223","282","5","61,158","61,158","2,361","2,939","8,461","10,720","8,069","8,847","8,983","6,357","3,629","771","21"
"서울특별시 용산구 (1117000000)","199,575","199,575","9,759","12,570","25,488","36,953","28,932","31,377","27,813","16,448","8,495","1,682","58","94,772","94,772","4,926","6,389","11,219","17,947","14,254","15,163","13,648","7,448","3,250","509","19","104,803","104,803","4,833","6,181","14,269","19,006","14,678","16,214","14,165","9,000","5,245","1,173","39"
"서울특별시 성동구 (1120000000)","274,346","274,346","15,608","17,107","37,097","48,367","39,483","42,584","38,510","22,862","11,016","1,681","31","132,283","132,283","8,002","8,473","17,589","23,764","19,812","20,785","18,834","10,299","4,276","444","5","142,063","142,063","7,606","8,634","19,508","24,603","19,671","21,799","19,676","12,563","6,740","1,237","26"
"서울특별시 광진구 (1121500000)","330,802","330,802","13,235","22,807","54,043","57,092","45,799","50,526","45,932","27,396","12,037","1,887","48","158,095","158,095","6,767","11,481","24,536","28,372","22,393","24,480","22,084","12,389","5,047","533","13","172,707","172,707","6,468","11,326","29,507","28,720","23,406","26,046","23,848","15,007","6,990","1,354","35"
"서울특별시 동대문구 (1123000000)","353,070","353,070","18,001","23,235","55,356","56,437","48,559","52,682","48,911","32,133","15,447","2,256","53","171,884","171,884","9,202","11,743","25,795","28,553","24,783","26,454","23,980","14,545","6,127","691","11","181,186","181,186","8,799","11,492","29,561","27,884","23,776","26,228","24,931","17,588","9,320","1,565","42"
"서울특별시 중랑구 (1126000000)","376,282","376,282","16,119","22,877","43,919","59,322","50,366","60,683","64,416","39,324","16,810","2,383","63","183,450","183,450","8,185","11,730","20,584","30,166","26,166","29,955","31,194","18,018","6,781","660","11","192,832","192,832","7,934","11,147","23,335","29,156","24,200","30,728","33,222","21,306","10,029","1,723","52"
"서울특별시 성북구 (1129000000)","421,289","421,289","20,918","33,851","61,764","57,144","59,010","70,165","58,512","38,045","18,905","2,901","74","200,918","200,918","10,810","17,002","28,667","28,481","29,157","34,301","27,550","16,715","7,386","834","15","220,371","220,371","10,108","16,849","33,097","28,663","29,853","35,864","30,962","21,330","11,519","2,067","59"
"서울특별시 강북구 (1130500000)","277,695","277,695","9,337","17,588","33,383","34,481","35,741","47,982","47,650","32,946","16,339","2,203","45","133,427","133,427","4,748","8,937","15,365","18,086","18,664","23,744","22,683","14,205","6,328","657","10","144,268","144,268","4,589","8,651","18,018","16,395","17,077","24,238","24,967","18,741","10,011","1,546","35"
