시군구코드,인구,총병상수,인구대비병상비율,인구대비병상점수
강원특별자치도|강릉시,205593,45.0,4568.733333333334,10.158991631407488
강원특별자치도|동해시,85577,17.0,5033.941176470588,12.574419027792274
강원특별자치도|삼척시,60139,16.0,3758.6875,5.953114780824378
강원특별자치도|속초시,78976,26.0,3037.5384615384614,2.208803135883728
강원특별자치도|양구군,20372,5.0,4074.4,7.592340415410553
강원특별자치도|영월군,35685,9.0,3965.0,7.024319559651825
강원특별자치도|원주시,365218,53.0,6890.905660377359,22.216051159988698
강원특별자치도|정선군,35144,5.0,7028.8,22.93201880895339
강원특별자치도|철원군,39665,5.0,7933.0,27.626757911120137
강원특별자치도|춘천시,284853,43.0,6624.488372093023,20.83277349929228
강원특별자치도|태백시,36755,9.0,4083.8888888888887,7.64160811912962
강원특별자치도|평창군,39865,6.0,6644.166666666667,20.934946092743775
강원특별자치도|홍천군,65810,10.0,6581.0,20.606975488946457
강원특별자치도|화천군,22773,7.0,3253.285714285714,3.3289945356377424
강원특별자치도|횡성군,45521,9.0,5057.888888888889,12.698759065281367
경기도|가평군,62048,,,
경기도|고양시,1057166,137.0,7716.540145985401,26.5028665810033
경기도|광명시,303726,32.0,9491.4375,35.71839413046651
경기도|광주시,400323,9.0,44480.333333333336,100.0
경기도|구리시,188040,18.0,10446.666666666666,40.67808415510724
경기도|군포시,249253,35.0,7121.5142857142855,23.41340498731251
경기도|김포시,483964,36.0,13443.444444444445,56.23779419031815
경기도|남양주시,727373,42.0,17318.404761904763,76.357156855354
경기도|동두천시,86186,,,
경기도|부천시,754851,71.0,10631.704225352112,41.638826316277374
경기도|성남시,901110,127.0,7095.354330708661,23.277578661636966
경기도|수원시,1185332,140.0,8466.657142857142,30.397584117404158
경기도|시흥시,514996,44.0,11704.454545454546,47.20870341719177
경기도|안산시,608883,76.0,8011.618421052632,28.03495629141918
경기도|안성시,199314,23.0,8665.826086956522,31.431698505593296
경기도|안양시,562143,42.0,13384.357142857143,55.931004248708525
경기도|양주시,297352,10.0,29735.2,100.0
경기도|양평군,126995,9.0,14110.555555555555,59.701532985743086
경기도|여주시,113383,6.0,18897.166666666668,84.55432036707371
경기도|연천군,43107,10.0,4310.7,8.819244695262356
경기도|오산시,254747,17.0,14985.117647058823,64.2423877172772
경기도|용인시,1090559,73.0,14939.164383561643,64.00379162900869
경기도|의정부시,461879,104.0,4441.1442307692305,9.496530285667543
경기도|이천시,225911,17.0,13288.882352941177,55.43528512739727
경기도|파주시,534503,29.0,18431.137931034482,82.13463077637945
경기도|평택시,620754,56.0,11084.892857142857,43.99184820338804
경기도|포천시,140454,35.0,4012.9714285714285,7.2733942571756955
경기도|화성시,999673,50.0,19993.46,90.24643624790176
경상남도|거제시,228893,27.0,8477.518518518518,30.453977973874828
경상남도|거창군,58760,9.0,6528.888888888889,20.33640695212862
경상남도|고성군,46771,9.0,5196.777777777777,13.419890559998422
경상남도|김해시,532758,50.0,10655.16,41.76061214066474
경상남도|남해군,41116,,,
경상남도|밀양시,98498,19.0,5184.105263157895,13.35409300424887
경상남도|사천시,107838,17.0,6343.411764705882,19.373382502383652
경상남도|산청군,32634,5.0,6526.8,20.325561134448076
경상남도|양산시,361264,45.0,8028.0888888888885,28.12047337766322
경상남도|의령군,24516,4.0,6129.0,18.26012515253928
경상남도|진주시,334360,87.0,3843.2183908045977,6.3920115718013
경상남도|창녕군,54321,9.0,6035.666666666667,17.775524788089424
경상남도|창원시,985937,135.0,7303.237037037037,24.356936182167903
경상남도|통영시,115867,9.0,12874.111111111111,53.28173196717402
경상남도|하동군,39539,,,
경상남도|함안군,56737,,,
경상남도|함양군,35121,4.0,8780.25,32.0258042551931
경상남도|합천군,38812,4.0,9703.0,36.81685767979425
경상북도|경산시,263171,23.0,11442.217391304348,45.847129626404474
