시도,시군구,인구,행정코드,기준연월,원천
강원특별자치도,강릉시,205593,51150,202607,행정안전부 주민등록 인구통계
강원특별자치도,동해시,85577,51170,202607,행정안전부 주민등록 인구통계
강원특별자치도,삼척시,60139,51230,202607,행정안전부 주민등록 인구통계
강원특별자치도,속초시,78976,51210,202607,행정안전부 주민등록 인구통계
강원특별자치도,양구군,20372,51800,202607,행정안전부 주민등록 인구통계
강원특별자치도,영월군,35685,51750,202607,행정안전부 주민등록 인구통계
강원특별자치도,원주시,365218,51130,202607,행정안전부 주민등록 인구통계
강원특별자치도,정선군,35144,51770,202607,행정안전부 주민등록 인구통계
강원특별자치도,철원군,39665,51780,202607,행정안전부 주민등록 인구통계
강원특별자치도,춘천시,284853,51110,202607,행정안전부 주민등록 인구통계
강원특별자치도,태백시,36755,51190,202607,행정안전부 주민등록 인구통계
강원특별자치도,평창군,39865,51760,202607,행정안전부 주민등록 인구통계
강원특별자치도,홍천군,65810,51720,202607,행정안전부 주민등록 인구통계
강원특별자치도,화천군,22773,51790,202607,행정안전부 주민등록 인구통계
강원특별자치도,횡성군,45521,51730,202607,행정안전부 주민등록 인구통계
경기도,가평군,62048,41820,202607,행정안전부 주민등록 인구통계
경기도,고양시,1057166,41280,202607,행정안전부 주민등록 인구통계
경기도,광명시,303726,41210,202607,행정안전부 주민등록 인구통계
경기도,광주시,400323,41610,202607,행정안전부 주민등록 인구통계
경기도,구리시,188040,41310,202607,행정안전부 주민등록 인구통계
경기도,군포시,249253,41410,202607,행정안전부 주민등록 인구통계
경기도,김포시,483964,41570,202607,행정안전부 주민등록 인구통계
경기도,남양주시,727373,41360,202607,행정안전부 주민등록 인구통계
경기도,동두천시,86186,41250,202607,행정안전부 주민등록 인구통계
경기도,부천시,754851,41190,202607,행정안전부 주민등록 인구통계
경기도,성남시,901110,41130,202607,행정안전부 주민등록 인구통계
경기도,수원시,1185332,41110,202607,행정안전부 주민등록 인구통계
경기도,시흥시,514996,41390,202607,행정안전부 주민등록 인구통계
경기도,안산시,608883,41270,202607,행정안전부 주민등록 인구통계
경기도,안성시,199314,41550,202607,행정안전부 주민등록 인구통계
경기도,안양시,562143,41170,202607,행정안전부 주민등록 인구통계
경기도,양주시,297352,41630,202607,행정안전부 주민등록 인구통계
경기도,양평군,126995,41830,202607,행정안전부 주민등록 인구통계
경기도,여주시,113383,41670,202607,행정안전부 주민등록 인구통계
경기도,연천군,43107,41800,202607,행정안전부 주민등록 인구통계
경기도,오산시,254747,41370,202607,행정안전부 주민등록 인구통계
경기도,용인시,1090559,41460,202607,행정안전부 주민등록 인구통계
경기도,의정부시,461879,41150,202607,행정안전부 주민등록 인구통계
경기도,이천시,225911,41500,202607,행정안전부 주민등록 인구통계
경기도,파주시,534503,41480,202607,행정안전부 주민등록 인구통계
경기도,평택시,620754,41220,202607,행정안전부 주민등록 인구통계
경기도,포천시,140454,41650,202607,행정안전부 주민등록 인구통계
경기도,화성시,999673,41590,202607,행정안전부 주민등록 인구통계
경상남도,거제시,228893,48310,202607,행정안전부 주민등록 인구통계
경상남도,거창군,58760,48880,202607,행정안전부 주민등록 인구통계
경상남도,고성군,46771,48820,202607,행정안전부 주민등록 인구통계
경상남도,김해시,532758,48250,202607,행정안전부 주민등록 인구통계
경상남도,남해군,41116,48840,202607,행정안전부 주민등록 인구통계
경상남도,밀양시,98498,48270,202607,행정안전부 주민등록 인구통계
경상남도,사천시,107838,48240,202607,행정안전부 주민등록 인구통계
경상남도,산청군,32634,48860,202607,행정안전부 주민등록 인구통계
경상남도,양산시,361264,48330,202607,행정안전부 주민등록 인구통계
경상남도,의령군,24516,48720,202607,행정안전부 주민등록 인구통계
경상남도,진주시,334360,48170,202607,행정안전부 주민등록 인구통계
경상남도,창녕군,54321,48740,202607,행정안전부 주민등록 인구통계
경상남도,창원시,985937,48120,202607,행정안전부 주민등록 인구통계
경상남도,통영시,115867,48220,202607,행정안전부 주민등록 인구통계
