시군구코드,시군구명,병상포화도점수,병상데이터기관수,접근성점수,인구대비병상점수,의료진부족점수,완성항목수,regionRisk,위험등급,위험등급명,산출상태
강원특별자치도|강릉시,강릉시,34.28815004262575,3,17.85740035698271,10.158991631407488,13.420210237621518,4,21.40290248393855,2,낮음,완료
강원특별자치도|동해시,동해시,30.0,2,26.820655757884836,12.574419027792274,100.0,4,36.0610805329239,3,보통,완료
강원특별자치도|삼척시,삼척시,0.0,1,54.17995093685979,5.953114780824378,25.088860939465203,4,21.207937378142592,2,낮음,완료
강원특별자치도|속초시,속초시,33.33333333333333,2,12.68203040507865,2.208803135883728,100.0,4,30.913036415367003,2,낮음,완료
강원특별자치도|양구군,양구군,0.0,1,89.94152869490289,7.592340415410553,100.0,4,43.500926691552976,3,보통,완료
강원특별자치도|영월군,영월군,11.11111111111111,1,51.20802595598386,7.024319559651825,47.94662875266585,4,27.848154900514288,2,낮음,완료
강원특별자치도|원주시,원주시,36.51115618661258,3,9.96157599950761,22.216051159988695,5.057144419533005,4,20.969159360094377,2,낮음,완료
강원특별자치도|정선군,정선군,0.0,1,100.0,22.93201880895339,100.0,4,49.58640376179068,3,보통,완료
강원특별자치도|철원군,철원군,100.0,1,73.07013918808417,27.626757911120137,100.0,4,77.44639333864927,5,매우높음,완료
강원특별자치도|춘천시,춘천시,60.930735930735935,2,0.4742770220959986,20.83277349929228,4.025711260358826,4,26.238452071298653,2,낮음,완료
강원특별자치도|태백시,태백시,22.22222222222222,1,79.78071062419218,7.64160811912962,100.0,4,48.24031258886136,3,보통,완료
강원특별자치도|평창군,평창군,16.666666666666664,1,100.0,20.934946092743772,100.0,4,55.02032255188208,4,높음,완료
강원특별자치도|홍천군,홍천군,10.0,1,84.79253677537348,20.606975488946457,100.0,4,48.059156130401334,3,보통,완료
강원특별자치도|화천군,화천군,0.0,1,71.97105450580757,3.3289945356377424,100.0,4,37.25711525886982,3,보통,완료
강원특별자치도|횡성군,횡성군,22.22222222222222,1,48.070798638893535,12.698759065281369,100.0,4,39.73876918250211,3,보통,완료
경기도|가평군,가평군,,0,65.76694129129261,,100.0,2,,,,원천데이터부족
경기도|고양시,고양시,34.60592818363043,7,2.9098486780209445,26.5028665810033,10.012460892460524,4,19.78747191774667,1,매우낮음,완료
경기도|광명시,광명시,43.72294372294372,2,4.285023432485426,35.71839413046651,0.1531142341554115,4,23.75518329399254,2,낮음,완료
경기도|광주시,광주시,77.77777777777779,1,7.8917797258443185,100.0,0.0,4,49.58975613997552,3,보통,완료
경기도|구리시,구리시,66.66666666666666,1,0.0,40.67808415510724,5.867556187455572,4,32.349083592473114,2,낮음,완료
경기도|군포시,군포시,25.326797385620917,2,1.545225136506318,23.41340498731251,3.32476622737464,4,14.509342557487916,1,매우낮음,완료
경기도|김포시,김포시,38.96103896103896,2,9.300366654650007,56.23779419031815,3.652868157707663,4,28.221962694478417,2,낮음,완료
경기도|남양주시,남양주시,33.578431372549026,3,19.010999639500227,76.357156855354,7.242689277821921,4,33.81358563498632,2,낮음,완료
경기도|동두천시,동두천시,,0,33.942724499037205,,100.0,2,,,,원천데이터부족
경기도|부천시,부천시,45.71473750790639,4,1.9866175449086003,41.638826316277374,2.134442945236229,4,25.244075096280728,2,낮음,완료
경기도|성남시,성남시,42.72999603881957,6,0.1841186659749761,23.27757866163697,3.836804088348905,4,20.24177055895907,2,낮음,완료
경기도|수원시,수원시,42.805399937752874,6,2.607380573458424,30.39758411740416,3.32476622737464,4,22.342335907838063,2,낮음,완료
경기도|시흥시,시흥시,22.037037037037038,3,10.374831840043612,47.20870341719177,7.976093592683975,4,21.463567237316994,2,낮음,완료
경기도|안산시,안산시,40.80478345184227,4,6.307339247874372,28.03495629141918,3.685678350740965,4,22.333718993402087,2,낮음,완료
경기도|안성시,안성시,28.96825396825397,2,50.07728763485769,31.431698505593296,12.324133459366143,4,33.29703489936978,2,낮음,완료
경기도|안양시,안양시,61.76470588235294,2,2.317222217337402,55.931004248708525,3.742350502343944,4,34.06036714911805,2,낮음,완료
경기도|양주시,양주시,10.0,1,14.044895411101637,100.0,100.0,4,42.71346862333049,3,보통,완료
경기도|양평군,양평군,11.11111111111111,1,66.04478989897214,59.701532985743086,47.94662875266585,4,42.83462676862903,3,보통,완료
경기도|여주시,여주시,50.0,1,28.707564340417303,84.55432036707371,1.1921036802099867,4,43.20194892757143,3,보통,완료
경기도|연천군,연천군,40.0,1,57.39631235107403,8.819244695262356,100.0,4,47.98274264437468,3,보통,완료
경기도|오산시,오산시,47.05882352941176,1,4.759828015228919,64.2423877172772,18.335429540110468,4,33.4973286143348,2,낮음,완료
경기도|용인시,용인시,26.513574660633488,5,2.519453798876296,64.00379162900869,7.533522023370666,4,23.96637390019195,2,낮음,완료
경기도|의정부시,의정부시,25.428571428571427,5,2.9432608523621533,9.496530285667545,14.197385367031044,4,13.81189211789681,1,매우낮음,완료
경기도|이천시,이천시,76.47058823529412,1,15.963457632483667,55.43528512739727,9.504019248646586,4,44.06640308487448,3,보통,완료
경기도|파주시,파주시,31.372549019607842,2,21.98292462037615,82.13463077637945,8.276122630582087,4,35.24361409283879,3,보통,완료
경기도|평택시,평택시,38.42879256965944,4,12.41297447485734,43.99184820338804,4.770845105509077,4,26.687966148341975,2,낮음,완료
경기도|포천시,포천시,11.11111111111111,2,18.03852951262189,7.273394257175695,10.023513971673871,4,12.258653689861674,1,매우낮음,완료
경기도|화성시,화성시,29.39814814814815,3,27.219843314487697,90.24643624790176,5.393234918604571,4,37.3135773335692,3,보통,완료
경상남도|거제시,거제시,37.03703703703704,3,100.0,30.453977973874828,100.0,4,64.05375855773792,4,높음,완료
경상남도|거창군,거창군,22.22222222222222,1,99.96693953275712,20.33640695212862,100.0,4,56.83514102803064,4,높음,완료
경상남도|고성군,고성군,22.22222222222222,1,54.96074069514909,13.419890559998422,100.0,4,41.94997809832219,3,보통,완료
경상남도|김해시,김해시,44.056372549019606,4,2.3137051463541165,41.76061214066474,11.32225077924209,4,26.16430198108236,2,낮음,완료
경상남도|남해군,남해군,,0,93.532458168837,,100.0,2,,,,원천데이터부족
경상남도|밀양시,밀양시,22.22222222222222,2,62.13556550105073,13.35409300424887,100.0,4,44.089266028942774,3,보통,완료
경상남도|사천시,사천시,11.11111111111111,2,29.21226402651872,19.37338250238365,97.81812216328544,4,31.19996292181405,2,낮음,완료
경상남도|산청군,산청군,20.0,1,66.98560638700091,20.32556113444808,100.0,4,46.160794142989886,3,보통,완료
경상남도|양산시,양산시,30.76923076923077,1,17.788817472808645,28.12047337766322,19.89391370919233,4,24.71405774298486,2,낮음,완료
경상남도|의령군,의령군,0.0,1,69.3279756618688,18.26012515253928,100.0,4,39.4504177290685,3,보통,완료
경상남도|진주시,진주시,24.521475256769374,6,6.805004792009214,6.3920115718013,18.95882320774321,4,14.746243572993787,1,매우낮음,완료
경상남도|창녕군,창녕군,33.33333333333333,1,68.25878608295012,17.775524788089424,100.0,4,50.699407449169584,4,높음,완료
경상남도|창원시,창원시,31.84857988779557,9,12.154469757585884,24.356936182167903,8.025457344645844,4,20.86854972613467,2,낮음,완료
경상남도|통영시,통영시,66.66666666666666,1,100.0,53.28173196717402,100.0,4,78.98967972676813,5,매우높음,완료
경상남도|하동군,하동군,,0,69.12222700934662,,100.0,2,,,,원천데이터부족
경상남도|함안군,함안군,,0,31.818413625133,,100.0,2,,,,원천데이터부족
경상남도|함양군,함양군,25.0,1,67.80156685512307,32.0258042551931,100.0,4,50.49563090757554,4,높음,완료
경상남도|합천군,합천군,,0,92.09221760118174,36.81685767979425,100.0,3,,,,원천데이터부족
경상북도|경산시,경산시,56.53846153846154,2,37.85722450343354,45.84712962640448,9.763766610160229,4,41.77961980629653,3,보통,완료
경상북도|경주시,경주시,43.40277777777778,2,7.925191900185527,36.88020187029021,2.231093126264562,4,25.279234135275605,2,낮음,완료
경상북도|고령군,고령군,0.0,1,44.974017638110986,17.04204752218281,100.0,4,31.900614795869856,2,낮음,완료
경상북도|구미시,구미시,30.146520146520146,3,20.9682496416984,38.70822694150824,2.68282766802742,4,24.98582648229733,2,낮음,완료
경상북도|김천시,김천시,32.536764705882355,2,16.867344875187943,7.292580475686567,10.54300869470116,4,19.488038508957693,1,매우낮음,완료
경상북도|문경시,문경시,29.411764705882355,1,29.63431254451293,6.18655140858924,9.504019248646586,4,21.847324579427543,2,낮음,완료
경상북도|봉화군,봉화군,,0,94.24466504295224,,100.0,2,,,,원천데이터부족
경상북도|상주시,상주시,22.22222222222222,2,53.61721957953417,12.129930542248555,100.0,4,41.28892976008774,3,보통,완료
